,start_location,end_location
344,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
345,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
346,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
347,"(26579.631128297202, 27753.031234996015)","(26510.302919004433, 27702.500510842277)"
348,"(26510.302919004433, 27702.500510842277)","(26421.277218837786, 27823.24158779779)"
349,"(26421.277218837786, 27823.24158779779)","(26330.098460637586, 27949.873440191528)"
350,"(26330.098460637586, 27949.873440191528)","(26208.120181973427, 27875.23792334026)"
351,"(26208.120181973427, 27875.23792334026)","(26052.258825640616, 27783.723288855952)"
352,"(26052.258825640616, 27783.723288855952)","(26256.96068142465, 27494.999429782707)"
353,"(26256.96068142465, 27494.999429782707)","(26084.44756021937, 27377.935042246158)"
354,"(26084.44756021937, 27377.935042246158)","(26035.083764562747, 27461.43400901908)"
355,"(26035.083764562747, 27461.43400901908)","(25809.808796478726, 27302.8163609661)"
356,"(25809.808796478726, 27302.8163609661)","(25656.271172258435, 27246.52793852167)"
357,"(25656.271172258435, 27246.52793852167)","(25659.92523645387, 27234.99928545268)"
358,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
359,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
360,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
361,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
362,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
363,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
364,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
365,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
366,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
